song_id;song_name;band
0;I Don’t Know Why;Imagine Dragons
1;My Tribe;Brett Engel
2;Suede;Blue Wednesday
3;Always Revered [Instrumental];Jonathan Elias ,David Ashok Ramani
4;Sleigh Ride;Patrick Thomas Hawes
5;Jingle Bells (Instrumental);Jingle Punks
6;Dance of the Sugar Plum Fairy;Kevin Macleod
7;Jingle Bells 7;Kevin MacLeod
8;Dark Energy (Original Mix);Captain Panic!
9;Pacifica (Vocal Mix);Spor
10;Bad Kids;Malleus & Saule
11;Music Is the Drug;Bassnectar feat. LUZCID
12;Another Home;Koven
13;Образ твой (Original Mix);K.Melody
14;Bullseye;Kevin Drew
15;Battle Angel;Judge Deadd
16;Flames;Nightcore
17;Devil Shogun;AxH
18;Soulfire;Callan Maart
19;Piano Piece;Ghosts Of Paraguay
20;My Favorite Tingz;Borgore
21;Music Is The Drug;Bassnectar & LUZCID
22;Side 2 Side;ILOVEMAKONNEN
23;Mecha;Mistik
24;Saloon;Fox Stevenson
25;Gleam Eyes;AFK
26;Don't Go;Nico Pellerin feat. Laura Newman
27;Drowsy;District
28;Distant Horizon;Reamz & Flipz
29;TKO;Bassnectar feat. Rye Rye & Zion I
30;100s;Borgore
31;Blast Ya;Borgore feat. Barrington Levy
32;Иду за тобой;Ассаи
33;Paypal;ZelooperZ
34;Такси;Elvira T
35;Мною дышишь;Алексия
36;Мысли в нотах;Бьянка
37;Я не могу сказать;Emin feat. Ани Лорак
38;Танцуй со мной;Полина Гагарина
39;Yanimda Kal (BRB);Harun Kolcak ft. Gokhan Turkmen
40;Когда исчезнет Слово;Мот
41;Моряк;Feduk
42;Ниже ноля;Варвара Визбор
43;Мы дэнсим;Черное кино, Элджей
44;На воле;Анна Седокова
45;Лиза готово;Эстрада
46;Young Yummy love;SEREBRO & DJ Feel
47;Потрачу;Егор Крид
48;Вите надо выйти;ESTRADARADA
49;Ламбада;T-Fest x Скриптонит
50;Чувствую душой;ALEKSEEV
51;Outro (ft. 104, Benz);Скриптонит
52;Давай улетим;Елена Темникова
53;Cyber Factor;The Enigma TNG
54;Без названия;Неизвестен
55;Red Queen;Holymen
56;Wicked(!);S.U.N.PROJECT
57;Вий;Metazone
58;Wicked;S.U.N. Project
59;Fuckin' Scorps;Vortex
61;Hermitto;Paralyzer
65;Рассыпая серебро;Максим Фадеев & MOLLY
66;Помада;Лолита
67;Guilty;The Rasmus
68;Босая;Две Маши
69;СуперЗвезда;Лобода
70;Равнодушие;Мальбэк feat. Сюзанна
71;Kiss Kiss;Tarkan
72;Ну вот и все;Максим Фадеев
73;А на море белый песок Unplugged Remix;Жанна Фриске
74;#Девочкахочетдвижа;DJ Tarantino, Зомб
75;Весел и пьян;Luxor
76;Спроси;Ани Лорак
77;Одно и то же;Максим Фадеев
78;Feedback;Imany
79;Ночь;Nyusha
80;Keep On Walking Original Mix;Dan Drastic
81;Mi Gente (DJ Ramirez & Mike Temoff Remix);J. Balvin feat. Willy William
82;Гуляй душа сердито(С=);Мурат Тхагалегов
83;Свет Уходящего Солнца;Валерий Меладзе & Вахтанг
84;Новый бывший;Лорак Ани
85;Моя любовь;Макс Барских
86;Сопрано;Мот feat. Ани Лорак
87;Crazy in love (OST Пятьдесят оттенков серого);Beyonce
88;Голубые глаза;Mr.Credo
89;Чудная долина;Mr.Credo
90;Медляк;Mr.Credo
91;Так сильно;ВИА Гра
92;Helpless  (Radio Edit);Aurosonic feat. Shelley Harland
93;просто уходи,нам пора прощаться;Чаян Фамал
94;я никогда не видел моря;25/17
95;Маленький Шут;Ляпис Трубецкой
96;Потеряться (2015);Normal'ный
97;Drifting Away;Cosmic Gate & Cathy Burton
98;Микромир (2015);Ol Z ft. Денис Rider ft. NeruGadza
99;Тобой (2015);Денис RiDer
100;Тобой (MC 77 prod 2015);Денис RiDer